,site,county,years,lat,lon
0,aberdeen-mannofield-resr,aberdeenshire,"[1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006]",57.128,-2.14
1,aboyne-no-2,aberdeenshire,"[1992, 1993, 1994, 1995, 1996, 1997, 2011]",57.076,-2.841
2,braemar-no-2,aberdeenshire,"[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",57.011,-3.397
3,cairnwell,aberdeenshire,[2011],56.879,-3.421
4,craibstone,aberdeenshire,[2011],57.187,-2.215
5,dyce,aberdeenshire,"[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",57.205,-2.205
6,rosehearty,aberdeenshire,[2011],57.698,-2.123
7,mylnefield,angus,"[1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005]",56.456,-3.07
8,aldergrove,antrim,"[1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",54.664,-6.225
9,ballypatrick-forest,antrim,"[1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",55.181,-6.154
10,portglenone,antrim,[2011],54.865,-6.458
11,dunstaffnage,argyll-in-strathclyde-region,"[1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",56.45,-5.44
12,islay-port-ellen,argyll-in-strathclyde-region,[2011],55.681,-6.25
13,machrihanish,argyll-in-strathclyde-region,[2011],55.441,-5.697
14,tiree,argyll-in-strathclyde-region,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",56.5,-6.881
15,glenanne-no-2,armagh,"[2003, 2004, 2011]",54.237,-6.504
16,bristol-weather-centre,avon,"[2000, 2001]",51.453,-2.6
17,filton,avon,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",51.522,-2.577
18,auchincruive,ayrshire,"[1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",55.477,-4.565
19,prestwick-gannet,ayrshire,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",55.515,-4.585
20,bedford,bedfordshire,"[1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",52.227,-0.465
21,cardington,bedfordshire,"[1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981]",52.104,-0.423
22,woburn,bedfordshire,"[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",52.014,-0.596
