,site,county,years,lat,lon
0,aberdeen-mannofield-resr,aberdeenshire,[2007],57.128,-2.14
1,aboyne-no-2,aberdeenshire,"[1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",57.076,-2.841
2,ballater-field-centre,aberdeenshire,[1998],57.047,-3.043
3,balmoral,aberdeenshire,[1990],57.037,-3.22
4,cairnorrie-drakemyre-croft,aberdeenshire,"[1995, 1996, 1997, 1998, 1999, 2000, 2001]",57.464,-2.208
5,cairnwell,aberdeenshire,"[1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",56.879,-3.421
6,craibstone,aberdeenshire,[1975],57.187,-2.215
7,culterty-no-2,aberdeenshire,"[1995, 1998, 1999]",57.325,-2.003
8,dinnet,aberdeenshire,"[1981, 1982]",57.109,-2.916
9,dyce,aberdeenshire,"[1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",57.205,-2.205
10,fraserburgh,aberdeenshire,"[1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990]",57.697,-2.003
11,gartly,aberdeenshire,[1982],57.379,-2.795
12,peterhead-harbour,aberdeenshire,"[1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",57.502,-1.774
13,rosehearty,aberdeenshire,"[1995, 1996, 1997, 1998, 1999, 2000, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012]",57.698,-2.123
14,bell-rock,angus,"[1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987]",56.436,-2.386
15,dundee,angus,[1984],56.47,-2.94
16,forfar-no-2,angus,"[1981, 1982, 1983]",56.657,-2.775
17,forfar-no-3,angus,"[1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994]",56.683,-2.929
18,kirriemuir-st-marys-rectory,angus,[1997],56.675,-3.012
19,montrose,angus,[1987],56.746,-2.481
20,mylnefield,angus,"[1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001]",56.456,-3.07
21,whitehillocks,angus,[2010],56.906,-2.907
22,aldergrove,antrim,"[1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",54.664,-6.225
23,altnahinch-filters,antrim,"[1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001]",55.048,-6.255
24,ballypatrick-forest,antrim,"[1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",55.181,-6.154
25,belfast-harbour,antrim,"[1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994]",54.627,-5.892
26,dungonnell-filters-no-2,antrim,[1992],54.989,-6.144
27,killylane,antrim,"[1998, 1999, 2000, 2001]",54.817,-6.005
28,kilroot-power-station,antrim,[1984],54.727,-5.773
29,larne,antrim,"[1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004]",54.852,-5.832
30,lisnafillan,antrim,"[1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1994, 1995, 1996, 1997, 1998, 1999]",54.857,-6.326
31,lowtown,antrim,"[1994, 1995, 1996]",54.831,-6.01
32,nutts-corner,antrim,"[1958, 1959, 1960]",54.632,-6.149
33,oldpark-filters,antrim,"[1994, 1995]",54.627,-5.949
34,parkmore-forest,antrim,[1992],55.019,-6.12
35,portglenone,antrim,"[1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",54.865,-6.458
36,ardentinny,argyll-in-strathclyde-region,"[1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997]",56.046,-4.914
37,aros,argyll-in-strathclyde-region,"[1981, 1983]",56.536,-5.981
38,benmore-younger-botanic-garden,argyll-in-strathclyde-region,[1992],56.028,-4.985
39,black-mount,argyll-in-strathclyde-region,"[1989, 1991, 1992]",56.545,-4.796
40,colonsay-hotel,argyll-in-strathclyde-region,"[1993, 1998]",56.069,-6.195
41,dunstaffnage,argyll-in-strathclyde-region,"[1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",56.45,-5.44
42,islay-port-ellen,argyll-in-strathclyde-region,"[1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",55.681,-6.25
43,knapdale-forest-no-2,argyll-in-strathclyde-region,[1981],56.059,-5.482
44,lephinmore,argyll-in-strathclyde-region,"[1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967]",56.084,-5.24
45,machrihanish,argyll-in-strathclyde-region,"[1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",55.441,-5.697
46,orsay,argyll-in-strathclyde-region,[1997],55.674,-6.511
47,tiree,argyll-in-strathclyde-region,"[1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",56.5,-6.881
48,annaghmore,armagh,"[1984, 1991, 1992]",54.459,-6.603
49,armagh,armagh,"[1992, 1995, 2018, 2019, 2020]",54.352,-6.65
